Migration between Germany and foreign countries: years,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
European Union states, sex;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Migration statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"European Union states
Sex
Arrivals from foreign countries
Departures to foreign countries";;;Unit;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;783;844;1411;2931;3772;3822;3764;3958
;Female;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1013;985;1898;2594;3646;3581;3285;2929
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;656;925;891;1234;1398;1775;1710;1868
;Total;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1757;2062;4930;7689;10177;9332;8417;7445
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1439;1769;2302;4165;5170;5597;5474;5826
Lithuania;Male;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1526;1442;2162;3261;5588;5622;5039;4756
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1227;1344;1431;1995;2899;3111;3555;3825
;Female;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2498;2012;2415;2882;4387;4453;4133;3708
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1690;1753;1815;1718;1887;2127;2360;2419
;Total;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4024;3454;4577;6143;9975;10075;9172;8464
